"","X1","X2","X3","X4","X5"
"61",-7.04,1.27706158213447e-18,3.88312450970986e-10,3.00571746405214e-07,6.55665113008249e-06
"62",-7.024,1.4728158127783e-18,4.18787837118455e-10,3.17384270959841e-07,6.86101294857156e-06
"63",-7.008,1.66857004342214e-18,4.49263223265925e-10,3.34196795514467e-07,7.16537476706065e-06
"64",-6.992,1.86432427406597e-18,4.79738609413394e-10,3.51009320069093e-07,7.46973658554973e-06
"65",-6.976,2.0600785047098e-18,5.10213995560864e-10,3.6782184462372e-07,7.77409840403881e-06
"66",-6.96,2.25583273535363e-18,5.40689381708333e-10,3.84634369178347e-07,8.0784602225279e-06
"67",-6.944,2.60023091318676e-18,5.82830573294752e-10,4.0586571010167e-07,8.44569749612254e-06
"68",-6.928,2.94462909101988e-18,6.24971764881171e-10,4.27097051024993e-07,8.81293476971719e-06
"69",-6.912,3.289027268853e-18,6.67112956467591e-10,4.48328391948316e-07,9.18017204331184e-06
"70",-6.896,3.63342544668613e-18,7.0925414805401e-10,4.69559732871639e-07,9.54740931690649e-06
"71",-6.88,3.97782362451925e-18,7.5139533964043e-10,4.90791073794963e-07,9.91464659050114e-06
"72",-6.864,4.58266120775152e-18,8.0957461267742e-10,5.17567946990228e-07,1.03572134186006e-05
"73",-6.848,5.1874987909838e-18,8.6775388571441e-10,5.44344820185493e-07,1.07997802467001e-05
"74",-6.832,5.79233637421607e-18,9.25933158751401e-10,5.71121693380758e-07,1.12423470747996e-05
"75",-6.816,6.39717395744835e-18,9.84112431788391e-10,5.97898566576023e-07,1.16849139028991e-05
"76",-6.8,7.00201154068062e-18,1.04229170482538e-09,6.24675439771289e-07,1.21274807309986e-05
"77",-6.784,8.06233563999708e-18,1.12247926686344e-09,6.58398221955772e-07,1.26601218817767e-05
"78",-6.768,9.12265973931354e-18,1.2026668289015e-09,6.92121004140256e-07,1.31927630325549e-05
"79",-6.752,1.018298383863e-17,1.28285439093956e-09,7.25843786324739e-07,1.3725404183333e-05
"80",-6.736,1.12433079379465e-17,1.36304195297762e-09,7.59566568509223e-07,1.42580453341112e-05
"81",-6.72,1.23036320372629e-17,1.44322951501568e-09,7.93289350693707e-07,1.47906864848893e-05
"82",-6.704,1.41591028190297e-17,1.5535624446871e-09,8.35695266550571e-07,1.54308238880777e-05
